Census Tract,FIPS,Area (Land),Area (Water),Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Owner Occupied Housing Units,"Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",Owner Occupied Housing Units: Non-White Homeowners,Renter-Occupied Housing Units,Renter-Occupied Housing Units: White Alone Householder,Renter-Occupied Housing Units: Black or African American Alone Householder,Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,Renter-Occupied Housing Units: Asian Alone Householder,Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,Renter-Occupied Housing Units: Some Other Race Alone Householder,Renter-Occupied Housing Units: Two or More Races Householder,"Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",Renter-Occupied Housing Units: Hispanic or Latino Householder
275400,06037275400,750990,0,4161,14350.31,0.289958872,0.2899589,0.2899589,0,4161,2639,276,0,673,0,183,390,4161,3626,2499,112,0,673,0,0,342,535,2333,971,1362,971,683,288,1362,775,228,0,165,0,21,173,727,233
275500,06037275500,762034,25717,4808,16341.35,0.294222985,0.3041524,0.294223,0.00992939,4808,2012,269,72,281,0,1029,1145,4808,1746,898,269,0,281,0,0,298,3062,1767,452,1315,452,191,261,1315,476,139,21,106,0,227,346,246,707
275603,06037275603,995774,28121,2820,7334.763,0.384470507,0.3953281,0.3844705,0.01085758,2820,1460,36,0,599,0,276,449,2820,2027,1219,36,0,599,0,0,173,793,1226,660,566,660,328,332,566,343,13,0,98,0,67,45,333,103
275604,06037275604,1550434,0,10065,16813.5,0.59862594,0.598626,0.598626,0,10065,6045,489,0,1748,0,409,1374,10065,8508,5752,225,0,1748,0,0,783,1557,4770,1519,3251,1519,1084,435,3251,1974,260,0,689,0,122,206,1829,395
275605,06037275605,970244,70158,2701,7210.102,0.374613319,0.4017015,0.3746133,0.02708816,2701,1353,428,0,689,0,0,231,2701,2385,1131,428,0,689,0,0,137,316,1622,337,1285,337,291,46,1285,486,373,0,353,0,0,73,377,109
276000,06037276000,2338438,0,6609,7319.942,0.902875998,0.902876,0.902876,0,6609,4017,468,0,1046,0,66,1012,6609,5434,3611,440,0,1046,0,0,337,1175,2941,1672,1269,1672,1126,546,1269,596,226,0,154,0,0,293,528,251
276101,06037276101,326325,0,2991,23739.08,0.125994792,0.1259948,0.1259948,0,2991,1305,679,0,570,0,17,420,2991,2562,1138,679,0,522,0,16,207,429,1764,113,1651,113,0,113,1651,756,484,0,230,0,0,181,659,146
276102,06037276102,658635,0,3262,12827.35,0.254300406,0.2543004,0.2543004,0,3262,651,1350,0,395,0,99,767,3262,2766,576,1350,0,395,0,0,445,496,1606,479,1127,479,91,388,1127,214,340,0,99,0,59,415,214,262
276400,06037276400,1275965,0,4388,8906.88,0.492652862,0.4926529,0.4926529,0,4388,3146,277,0,517,10,31,407,4388,3831,2864,277,0,517,10,0,163,557,1463,1155,308,1155,847,308,308,194,9,0,54,10,0,41,169,34
276500,06037276500,1191958,0,5617,12205.1,0.460217576,0.4602176,0.4602176,0,5617,3242,382,96,965,9,232,691,5617,4614,2899,365,11,961,9,5,364,1003,732,426,306,426,319,107,306,198,45,0,8,0,4,51,192,53
276601,06037276601,2232407,7324,4136,4798.494,0.861937198,0.864765,0.8619372,0.002827812,4136,2808,159,37,423,0,167,542,4136,3526,2647,159,37,407,0,36,240,610,1666,992,674,992,791,201,674,349,87,31,73,0,12,122,349,86
276605,06037276605,237796,0,2366,25769.62,0.091813553,0.09181355,0.09181355,0,2366,1998,116,13,79,13,77,70,2366,1967,1768,94,13,79,13,0,0,399,1277,523,754,523,424,99,754,625,34,13,36,0,14,32,586,85
276606,06037276606,216888,0,2987,35669.54,0.083740929,0.08374093,0.08374093,0,2987,2062,133,0,473,0,77,242,2987,2375,1874,133,0,332,0,1,35,612,1801,724,1077,724,402,322,1077,874,46,0,79,0,34,44,840,102
276607,06037276607,478080,0,2787,15098.51,0.184587728,0.1845877,0.1845877,0,2787,1487,337,0,282,0,273,408,2787,2466,1402,337,0,282,0,165,280,321,1426,340,1086,340,270,70,1086,657,196,0,80,0,56,97,644,88
276608,06037276608,360279,0,2141,15391.31,0.139104506,0.1391045,0.1391045,0,2141,1323,33,0,429,0,77,279,2141,1755,1212,33,0,420,0,42,48,386,1111,572,539,572,374,198,539,305,0,0,191,0,20,23,256,81
277000,06037277000,2298914,0,5947,6699.972,0.887615696,0.8876157,0.8876157,0,5947,3932,246,103,750,20,118,778,5947,4757,3443,246,103,750,20,0,195,1190,2139,1468,671,1468,1089,379,671,312,26,0,100,20,55,158,241,265
277100,06037277100,1234119,0,3149,6608.66,0.47649603,0.476496,0.476496,0,3149,1601,7,103,617,37,253,531,3149,2474,1455,1,94,617,37,25,245,675,1085,818,267,818,545,273,267,117,0,0,83,0,48,19,106,59
277200,06037277200,1041838,0,1845,4586.632,0.402255918,0.4022559,0.4022559,0,1845,604,180,41,303,0,495,222,1845,1194,463,180,41,303,0,45,162,651,938,186,752,186,43,143,752,301,111,0,84,0,188,68,234,238
277400,06037277400,638940,0,0,0,0.246696124,0.2466961,0.2466961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278001,06037278001,1614008,779,2220,3562.419,0.623171999,0.6234728,0.623172,0.000300774,2220,1315,82,101,349,0,74,299,2220,1508,968,82,0,349,0,6,103,712,1046,599,447,599,304,295,447,213,59,21,108,0,9,37,155,115
278102,06037278102,1677533,1611460,3116,4810.875,0.64769914,1.269887,0.6476991,0.6221882,3116,2479,105,0,248,0,80,204,3116,2689,2199,105,0,248,0,0,137,427,1468,758,710,758,551,207,710,600,0,0,50,0,29,31,559,87
291110,06037291110,711349,0,4530,16493.52,0.274653396,0.2746534,0.2746534,0,4530,684,1928,33,34,0,843,1008,4530,2072,64,1921,20,11,0,0,56,2458,1361,245,1116,245,0,245,1116,159,490,13,11,0,154,289,8,605
291120,06037291120,701467,0,2178,8041.709,0.270837934,0.2708379,0.2708379,0,2178,599,587,0,123,0,646,223,2178,729,34,580,0,103,0,0,12,1449,631,210,421,210,0,210,421,112,149,0,29,0,107,24,7,242
291130,06037291130,1291463,0,3492,7003.095,0.498636673,0.4986367,0.4986367,0,3492,791,516,39,478,0,1102,566,3492,1167,65,516,0,478,0,45,63,2325,991,680,311,680,35,645,311,23,122,0,93,0,35,38,0,81
291210,06037291210,1242663,0,4752,9904.232,0.479794887,0.4797949,0.4797949,0,4752,788,1286,11,933,0,1320,414,4752,2576,293,1286,11,933,0,41,12,2176,1689,787,902,787,83,704,902,135,275,0,129,0,315,48,33,417
291220,06037291220,818696,0,3008,9515.967,0.316100306,0.3161003,0.3161003,0,3008,420,447,51,705,0,1058,327,3008,1368,162,427,0,705,0,28,46,1640,1067,409,658,409,62,347,658,150,78,7,111,0,237,75,67,398
291300,06037291300,2358585,45836,3132,3439.283,0.910654798,0.9283522,0.9106548,0.01769738,3132,586,342,3,1388,23,339,451,3132,2253,289,342,0,1348,10,0,264,879,1104,874,230,874,64,810,230,33,82,0,76,0,16,23,17,41
292001,06037292001,3530022,0,4219,3095.493,1.362949172,1.362949,1.362949,0,4219,515,436,0,1019,0,1935,314,4219,1809,246,436,0,1019,0,0,108,2410,1358,281,1077,281,22,259,1077,121,146,0,240,0,475,95,111,497
292002,06037292002,466181,2204,1993,11072.62,0.179993498,0.1808445,0.1799935,0.000850969,1993,636,75,0,158,0,536,588,1993,783,529,75,0,158,0,0,21,1210,536,406,130,406,173,233,130,80,0,0,10,0,30,10,56,54
293203,06037293203,463285,2388,2936,16413.66,0.178875346,0.1797974,0.1788753,0.000922012,2936,967,110,0,536,0,1062,261,2936,1144,442,110,0,536,0,0,56,1792,1029,441,588,441,121,320,588,221,38,0,89,0,188,52,182,271
293204,06037293204,603024,1719,3660,15719.7,0.232828878,0.2334926,0.2328289,0.00066371,3660,820,175,14,949,0,249,1453,3660,1573,434,175,0,949,0,0,15,2087,1039,498,541,498,111,387,541,108,77,14,236,0,68,38,37,191
293205,06037293205,635542,0,3487,14210.37,0.245384148,0.2453841,0.2453841,0,3487,778,245,0,764,0,1350,350,3487,1463,314,245,0,751,0,0,153,2024,1065,213,852,213,24,189,852,209,103,0,234,0,284,22,128,377
293206,06037293206,416865,0,2882,17905.91,0.160952483,0.1609525,0.1609525,0,2882,448,429,30,381,0,1398,196,2882,957,93,429,0,381,0,32,22,1925,784,163,621,163,27,136,621,79,70,7,54,0,411,0,4,480
293301,06037293301,844979,0,2734,8380.122,0.32624823,0.3262482,0.3262482,0,2734,842,98,15,1300,5,219,255,2734,2152,608,98,15,1300,0,0,131,582,952,648,304,648,191,457,304,51,23,0,192,0,0,38,28,38
293302,06037293302,1119337,0,4637,10729.36,0.43217845,0.4321784,0.4321784,0,4637,1598,545,2,1184,0,238,1070,4637,2847,980,533,0,1164,0,40,130,1790,1617,984,633,984,346,638,633,222,134,0,133,0,16,128,55,325
293304,06037293304,569496,0,5317,24180.97,0.219883644,0.2198837,0.2198837,0,5317,1708,275,17,748,0,1505,1064,5317,2134,888,243,0,739,0,0,264,3183,1584,469,1115,469,184,285,1115,404,114,0,128,0,313,156,147,754
293306,06037293306,613552,1884,2195,9265.757,0.236893762,0.2376212,0.2368938,0.000727417,2195,1146,126,0,457,0,205,261,2195,1477,853,122,0,457,0,0,45,718,836,646,190,646,348,298,190,111,0,0,29,0,38,12,66,95
293307,06037293307,338892,0,2670,20405.52,0.130846938,0.1308469,0.1308469,0,2670,1213,182,0,278,0,555,442,2670,857,344,176,0,278,0,0,59,1813,903,265,638,265,104,161,638,233,93,0,75,0,151,86,63,400
294110,06037294110,988523,0,3938,10317.79,0.38167088,0.3816709,0.3816709,0,3938,1908,10,0,81,0,1314,625,3938,454,345,10,0,81,0,0,18,3484,1066,598,468,598,55,543,468,267,7,0,6,0,110,78,58,390
294120,06037294120,1564713,0,2809,4649.591,0.604139093,0.6041391,0.6041391,0,2809,1883,136,0,103,0,438,249,2809,254,15,136,0,103,0,0,0,2555,616,204,412,204,15,189,412,292,45,0,2,0,45,28,0,365
294200,06037294200,953769,0,4668,12676.09,0.368252285,0.3682523,0.3682523,0,4668,1819,127,135,151,14,1351,1071,4668,494,195,108,0,151,14,0,26,4174,1384,786,598,786,100,686,598,320,0,26,10,0,97,145,9,579
294301,06037294301,713041,0,2731,9919.847,0.275306681,0.2753067,0.2753067,0,2731,1173,25,47,150,0,873,463,2731,313,146,3,0,150,0,0,14,2418,644,513,131,513,68,445,131,89,5,0,4,0,26,7,0,127
294302,06037294302,840310,0,4567,14076.32,0.324445519,0.3244455,0.3244455,0,4567,2494,164,24,127,0,1352,406,4567,523,157,164,0,113,0,9,80,4044,1221,596,625,596,77,519,625,358,51,0,24,0,175,17,2,548
294410,06037294410,833787,0,5237,16267.66,0.321926974,0.321927,0.321927,0,5237,1044,1132,37,871,55,1042,1056,5237,2613,541,1075,0,860,55,0,82,2624,1587,615,972,615,86,529,972,165,247,0,195,6,208,151,73,468
294421,06037294421,673257,0,2763,10629.13,0.259945992,0.259946,0.259946,0,2763,1006,286,0,352,0,690,429,2763,886,201,277,0,352,0,0,56,1877,985,378,607,378,111,267,607,229,98,0,20,0,172,88,10,479
294510,06037294510,518230,0,4095,20465.82,0.20008973,0.2000897,0.2000897,0,4095,2588,35,46,236,0,921,269,4095,395,132,35,0,228,0,0,0,3700,1145,399,746,399,17,382,746,521,14,0,25,0,148,38,32,675
294520,06037294520,484078,0,3597,19245.22,0.186903569,0.1869036,0.1869036,0,3597,2295,58,5,63,0,879,297,3597,199,86,58,5,47,0,0,3,3398,913,289,624,289,14,275,624,454,0,5,11,0,115,39,24,584
294610,06037294610,823808,0,4021,12641.71,0.318074061,0.318074,0.318074,0,4021,2202,0,17,298,5,890,609,4021,448,126,0,0,292,5,0,25,3573,1163,370,793,370,25,345,793,442,0,0,58,0,196,97,54,674
294620,06037294620,841598,0,4229,13014.6,0.324942818,0.3249428,0.3249428,0,4229,2778,190,0,35,92,426,708,4229,406,93,190,0,31,92,0,0,3823,1046,337,709,337,0,337,709,420,47,0,0,14,56,172,12,636
294701,06037294701,1753940,0,2789,4118.429,0.677200049,0.6772,0.6772,0,2789,1912,134,33,36,0,475,199,2789,314,125,134,0,36,0,0,19,2475,960,204,756,204,6,198,756,493,80,6,12,0,99,66,80,575
294810,06037294810,320464,0,3929,31754.15,0.123731847,0.1237318,0.1237318,0,3929,2464,86,0,21,81,911,366,3929,367,44,86,0,14,81,40,102,3562,1030,102,928,102,0,102,928,559,60,0,14,0,200,95,27,805
294820,06037294820,383486,0,3289,22213.25,0.148064779,0.1480648,0.1480648,0,3289,2256,22,65,82,0,669,195,3289,120,43,8,0,69,0,0,0,3169,942,85,857,85,5,80,857,598,8,25,32,0,152,42,25,805
294830,06037294830,885881,0,4167,12182.76,0.342040581,0.3420406,0.3420406,0,4167,2652,169,29,28,0,910,379,4167,439,171,157,15,28,0,0,68,3728,1045,197,848,197,15,182,848,562,75,3,0,0,147,61,59,711
294900,06037294900,644545,0,3824,15366.06,0.248860226,0.2488602,0.2488602,0,3824,2303,366,0,81,43,708,323,3824,527,65,338,0,81,43,0,0,3297,1008,263,745,263,19,244,745,419,103,0,15,5,135,68,16,606
295103,06037295103,2056813,1202,5369,6760.773,0.794139973,0.7946041,0.79414,0.000464095,5369,3490,146,28,755,0,98,852,5369,3639,2493,119,13,646,0,30,338,1730,2085,1543,542,1543,779,764,542,365,24,0,117,0,0,36,296,105
296210,06037296210,559516,0,3616,16738.39,0.216030345,0.2160303,0.2160303,0,3616,1701,164,51,54,0,1006,640,3616,567,195,164,9,54,0,0,145,3049,1122,265,857,265,26,239,857,302,127,18,5,0,205,200,79,535
296220,06037296220,536366,0,4154,20058.71,0.207092079,0.2070921,0.2070921,0,4154,2119,559,5,378,21,720,352,4154,1575,577,525,0,368,21,0,84,2579,1768,50,1718,50,19,31,1718,780,250,0,236,10,224,218,220,938
296300,06037296300,1062647,0,4882,11898.89,0.410290318,0.4102903,0.4102903,0,4882,2681,176,14,1069,4,317,621,4882,3408,1872,168,0,1065,0,76,227,1474,1890,1339,551,1339,628,711,551,264,57,0,97,0,48,85,180,190
296401,06037296401,986904,1098,3075,8069.896,0.381045781,0.3814697,0.3810458,0.00042394,3075,2004,292,5,301,0,239,234,3075,2199,1551,292,5,301,0,0,50,876,1274,1064,210,1064,643,421,210,115,32,0,20,0,23,20,97,50
296402,06037296402,1045964,0,3346,8285.275,0.403848975,0.403849,0.403849,0,3346,1873,44,6,384,20,546,473,3346,1676,1222,32,0,326,20,0,76,1670,1175,892,283,892,470,422,283,120,15,6,30,0,91,21,91,147
296500,06037296500,902420,6249,3687,10581.86,0.348426325,0.3508391,0.3484263,0.002412752,3687,1265,127,12,71,30,1453,729,3687,781,584,70,0,4,30,20,73,2906,1212,459,753,459,96,363,753,222,84,12,0,0,294,141,125,522
296600,06037296600,841947,0,5284,16254.58,0.325077568,0.3250776,0.3250776,0,5284,2543,393,21,219,102,1136,870,5284,1649,846,339,9,219,102,0,134,3635,2141,338,1803,338,75,263,1803,895,230,12,61,61,277,267,294,1149
296901,06037296901,617328,0,4492,18846.1,0.238351683,0.2383517,0.2383517,0,4492,2154,358,73,130,0,1139,638,4492,1274,656,344,0,130,0,27,117,3218,1549,224,1325,224,105,119,1325,655,113,18,40,0,306,193,268,875
296902,06037296902,493111,0,4552,23908.66,0.19039123,0.1903912,0.1903912,0,4552,1756,186,42,194,0,1499,875,4552,1789,1108,186,11,194,0,109,181,2763,1600,343,1257,343,147,196,1257,614,125,11,119,0,287,101,394,541
297001,06037297001,684352,0,1659,6278.626,0.264229796,0.2642298,0.2642298,0,1659,1089,44,0,66,0,39,421,1659,1142,862,44,0,66,0,0,170,517,611,395,216,395,263,132,216,105,30,0,24,0,0,57,64,86
297002,06037297002,766670,0,4376,14783.14,0.296012955,0.296013,0.296013,0,4376,2208,63,183,302,0,805,815,4376,2704,1843,63,83,279,0,117,319,1672,1717,819,898,819,575,244,898,452,19,81,24,0,151,171,318,378
297110,06037297110,487479,0,4809,25550.34,0.188216702,0.1882167,0.1882167,0,4809,2896,286,10,159,32,881,545,4809,1513,766,274,0,152,18,82,221,3296,1597,317,1280,317,31,286,1280,812,99,3,43,0,225,98,294,769
297120,06037297120,426006,0,3264,19844.13,0.164481843,0.1644818,0.1644818,0,3264,1467,293,0,245,60,631,568,3264,1195,584,293,0,245,60,0,13,2069,1099,349,750,349,122,227,750,430,95,0,39,13,115,58,178,425
297201,06037297201,403962,0,4078,26145.95,0.155970607,0.1559706,0.1559706,0,4078,2476,138,43,407,0,700,314,4078,1592,890,138,22,388,0,11,143,2486,1428,405,1023,405,122,283,1023,675,45,12,52,0,137,102,282,564
297202,06037297202,575787,0,4128,18568.45,0.222312613,0.2223126,0.2223126,0,4128,2819,59,25,140,0,465,620,4128,2111,1826,50,7,140,0,8,80,2017,1598,627,971,627,451,176,971,578,25,0,107,0,161,100,300,534
297300,06037297300,1231963,1164971,2152,4524.206,0.475663594,0.9254614,0.4756636,0.4497978,2152,1505,76,0,101,10,156,304,2152,1388,1099,76,0,80,10,0,123,764,778,411,367,411,284,127,367,212,33,0,20,10,35,57,164,123
297400,06037297400,2092347,955977,3248,4020.5,0.807859728,1.176965,0.8078597,0.3691048,3248,2257,70,0,171,15,26,709,3248,2702,2131,70,0,171,0,0,330,546,1627,1387,240,1387,1018,369,240,172,60,0,8,0,0,0,172,0
297501,06037297501,1132151,2159171,2714,6208.737,0.437125964,1.270787,0.437126,0.8336606,2714,1664,29,16,155,0,63,787,2714,1701,1426,29,16,155,0,0,75,1013,1027,851,176,851,507,344,176,111,0,16,0,0,0,49,111,49
297502,06037297502,961341,476,2724,7338.839,0.371175851,0.3713596,0.3711759,0.000183785,2724,1633,16,30,251,0,124,670,2724,1723,1218,16,0,251,0,0,238,1001,1030,707,323,707,444,263,323,109,0,30,32,0,30,122,68,183
297601,06037297601,771120,1781231,3443,11564.13,0.297731109,0.9854683,0.2977311,0.6877372,3443,1795,277,33,23,55,316,944,3443,1902,1316,208,15,23,55,0,285,1541,1301,356,945,356,222,134,945,700,50,18,5,0,129,43,563,292
297602,06037297602,622070,0,3388,14105.94,0.24018258,0.2401826,0.2401826,0,3388,2130,136,0,250,0,446,426,3388,1963,1528,136,0,205,0,13,81,1425,1654,666,988,666,493,173,988,678,48,0,72,0,127,63,411,458
300100,06037300100,4591342,18657,6862,3870.872,1.772727132,1.779931,1.772727,0.007203508,6862,4243,0,0,1713,0,392,514,6862,5555,3466,0,0,1713,0,26,350,1307,2171,1839,332,1839,1093,746,332,315,0,0,0,0,0,17,276,39
300200,06037300200,1943986,10136,5382,7170.481,0.750577223,0.7544907,0.7505772,0.003913532,5382,3207,73,23,1524,0,148,407,5382,4554,2670,73,8,1524,0,36,243,828,1855,1274,581,1274,815,459,581,298,58,23,115,0,24,63,238,145
300301,06037300301,6179910,19081,6399,2681.808,2.386076692,2.393444,2.386077,0.007367216,6399,4034,59,0,1606,0,236,464,6399,5984,3995,59,0,1606,0,0,324,415,1982,1712,270,1712,1268,444,270,120,0,0,82,0,68,0,120,68
300400,06037300400,2004011,4708,5732,7408.049,0.773753006,0.7755708,0.773753,0.001817769,5732,2837,3,0,1578,0,244,1070,5732,4815,2392,3,0,1578,0,0,842,917,1831,1304,527,1304,698,606,527,368,0,0,143,0,16,0,300,84
300501,06037300501,1260255,0,2785,5723.538,0.486587197,0.4865872,0.4865872,0,2785,1432,0,0,725,0,355,273,2785,2210,1281,0,0,717,0,14,198,575,1007,651,356,651,333,318,356,275,0,0,20,0,40,21,185,146
300503,06037300503,1083395,0,5063,12103.72,0.418301166,0.4183012,0.4183012,0,5063,2442,1,18,1393,52,255,902,5063,4333,2285,1,18,1345,52,48,584,730,2226,540,1686,540,201,339,1686,1222,0,18,223,0,125,98,1181,191
300601,06037300601,732498,4513,6010,21250.34,0.282819071,0.2845615,0.2828191,0.001742479,6010,3101,190,40,1732,0,763,184,6010,4932,2899,190,0,1732,0,12,99,1078,2114,923,1191,923,503,420,1191,826,25,13,203,0,68,56,817,90
300602,06037300602,1494245,32150,3326,5764.985,0.576931244,0.5893444,0.5769312,0.01241319,3326,2071,8,0,574,62,175,436,3326,2706,1927,8,0,574,62,0,135,620,1277,728,549,728,437,291,549,486,0,0,18,0,12,33,450,81
300701,06037300701,13349192,59421,4988,967.7634,5.154152066,5.177094,5.154152,0.02294258,4988,3598,0,0,498,0,91,801,4988,4627,3504,0,0,494,0,0,629,361,2028,1700,328,1700,1302,398,328,259,0,0,69,0,0,0,259,0
300702,06037300702,11433435,58433,5882,1332.435,4.414474121,4.437035,4.414474,0.02256111,5882,4854,0,15,573,0,133,307,5882,5396,4640,0,0,563,0,19,174,486,2056,1788,268,1788,1309,479,268,168,0,0,0,0,77,23,168,81
300800,06037300800,6095863,41004,7172,3047.213,2.353625963,2.369458,2.353626,0.01583173,7172,4364,92,104,766,0,207,1639,7172,5798,4079,40,11,766,0,19,883,1374,2671,1174,1497,1174,707,467,1497,1121,40,11,97,0,37,191,1020,311
300901,06037300901,6947856,3868,5285,1970.117,2.682582313,2.684076,2.682582,0.001493443,5285,3782,248,0,933,17,76,229,5285,5051,3599,248,0,933,17,76,178,234,2031,1790,241,1790,1154,636,241,174,55,0,12,0,0,0,164,10
300902,06037300902,4391843,7548,2046,1206.581,1.695700135,1.698614,1.6957,0.002914299,2046,1491,13,0,328,0,74,140,2046,1837,1456,13,0,323,0,0,45,209,740,644,96,644,467,177,96,92,0,0,0,0,0,4,86,6
301000,06037301000,2048659,21482,5552,7019.037,0.790991696,0.7992859,0.7909917,0.008294247,5552,3887,120,1,530,0,471,543,5552,4495,3481,100,0,530,0,92,292,1057,2031,912,1119,912,563,349,1119,765,50,0,94,0,139,71,627,295
301100,06037301100,1330131,14710,7140,13902.78,0.513566472,0.519246,0.5135665,0.005679563,7140,5835,41,100,571,0,101,492,7140,6560,5531,41,0,571,0,0,417,580,2802,1126,1676,1126,788,338,1676,1434,14,42,132,0,0,54,1359,155
301203,06037301203,547434,0,4042,19123.28,0.211365458,0.2113655,0.2113655,0,4042,2969,65,0,509,0,203,296,4042,3640,2838,65,0,509,0,28,200,402,1747,751,996,751,419,332,996,786,32,0,45,0,62,71,781,78
301204,06037301204,408912,0,5018,31783.27,0.157881813,0.1578818,0.1578818,0,5018,3536,146,0,847,0,411,78,5018,4037,3054,146,0,832,0,0,5,981,2179,315,1864,315,276,39,1864,1311,28,0,315,0,167,43,1092,444
301205,06037301205,773296,0,2102,7040.195,0.298571268,0.2985713,0.2985713,0,2102,1708,20,15,204,0,24,131,2102,1953,1621,20,0,204,0,0,108,149,685,521,164,521,435,86,164,152,6,0,0,0,5,1,123,34
301206,06037301206,828425,0,5361,16760.63,0.319856694,0.3198567,0.3198567,0,5361,4153,189,0,528,0,264,227,5361,4767,3974,189,0,528,0,0,76,594,1833,464,1369,464,365,99,1369,1094,40,0,80,0,45,110,1027,216
301300,06037301300,1164882,0,1971,4382.303,0.449763474,0.4497635,0.4497635,0,1971,1688,0,0,164,0,12,107,1971,1813,1627,0,0,156,0,0,30,158,679,652,27,652,563,89,27,27,0,0,0,0,0,0,21,6
301400,06037301400,1581768,16074,3803,6227.035,0.610724065,0.6169302,0.6107241,0.006206207,3803,3135,7,86,213,0,100,262,3803,3234,2836,7,0,213,0,0,178,569,1267,1139,128,1139,925,214,128,102,0,0,21,0,5,0,102,5
301501,06037301501,604042,0,1752,7512.158,0.23322193,0.2332219,0.2332219,0,1752,1456,0,0,181,56,31,28,1752,1599,1339,0,0,181,56,0,23,153,529,432,97,432,358,74,97,78,0,0,4,15,0,0,78,0
301502,06037301502,675937,0,7242,27749.17,0.260980746,0.2609808,0.2609808,0,7242,5953,32,117,409,0,202,529,7242,6443,5735,32,0,409,0,0,267,799,2372,215,2157,215,121,94,2157,1806,0,30,115,0,40,166,1689,242
301601,06037301601,2257505,1299,5396,6190.717,0.871627591,0.8721291,0.8716276,0.000501547,5396,4386,61,0,335,0,508,106,5396,4182,3780,61,0,309,0,0,32,1214,2267,267,2000,267,144,123,2000,1658,21,0,98,0,163,60,1449,442
301602,06037301602,985485,9553,3897,10241.84,0.380497902,0.3841863,0.3804979,0.003688434,3897,2300,118,29,264,0,618,568,3897,2220,1432,118,17,264,0,0,389,1677,1548,490,1058,490,229,261,1058,593,77,10,65,0,228,85,403,444
301701,06037301701,914081,17855,2780,7876.946,0.352928662,0.3598225,0.3529287,0.006893854,2780,1899,27,0,337,0,199,318,2780,2206,1734,27,0,337,0,0,108,574,1007,434,573,434,339,95,573,377,27,0,80,0,16,73,340,72
301702,06037301702,829045,0,6160,19244.22,0.320096078,0.3200961,0.3200961,0,6160,3903,172,65,946,0,731,343,6160,4828,3585,172,65,946,0,7,53,1332,2135,512,1623,512,265,247,1623,1083,97,0,218,0,84,141,985,304
301801,06037301801,712358,10923,5428,19735.1,0.275042973,0.2792604,0.275043,0.004217394,5428,3562,52,0,1056,70,455,233,5428,4432,3060,47,0,1046,70,39,170,996,2511,464,2047,464,223,241,2047,1401,26,0,334,40,148,98,1205,350
301802,06037301802,479026,0,5487,29667,0.18495298,0.184953,0.184953,0,5487,3384,454,0,734,0,488,427,5487,4534,3057,396,0,734,0,155,192,953,2363,353,2010,353,163,190,2010,1346,226,0,178,0,161,99,1233,256
301901,06037301901,455877,3314,4267,24242.24,0.176015101,0.1772946,0.1760151,0.001279543,4267,3416,51,0,552,0,125,123,4267,3823,3190,51,0,487,0,0,95,444,1774,612,1162,612,365,247,1162,956,12,0,135,0,41,18,919,85
301902,06037301902,634513,3753,3279,13384.39,0.244986849,0.2464359,0.2449868,0.001449041,3279,2105,20,0,762,0,283,109,3279,2944,2088,20,0,731,0,0,105,335,1046,252,794,252,183,69,794,511,0,0,145,0,123,15,511,123
302002,06037302002,502792,0,3944,20316.38,0.194129085,0.1941291,0.1941291,0,3944,2694,109,0,633,30,140,338,3944,3186,2364,109,0,627,30,0,56,758,1810,306,1504,306,157,149,1504,1011,34,0,182,30,48,199,942,274
302003,06037302003,237183,0,3663,39999.18,0.091576872,0.09157687,0.09157687,0,3663,2791,24,0,347,16,167,318,3663,3280,2660,24,0,347,16,0,233,383,1517,142,1375,142,135,7,1375,1050,24,0,95,16,67,123,1050,92
302004,06037302004,339800,0,4055,30907.6,0.131197519,0.1311975,0.1311975,0,4055,3085,44,51,444,0,339,92,4055,3124,2592,44,0,444,0,0,44,931,1562,209,1353,209,111,98,1353,1067,17,17,126,0,79,47,934,244
302102,06037302102,1035617,0,5888,14725.38,0.399853976,0.399854,0.399854,0,5888,4071,128,0,616,0,559,514,5888,4379,3502,128,0,616,0,0,133,1509,2344,773,1571,773,412,361,1571,972,56,0,155,0,268,120,852,425
