Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10035_001,SE_A10035_002,SE_A10035_003,SE_A10035_004,SE_A10035_005,SE_A10035_006,SE_A10035_007,SE_A10035_008,SE_A10035_009,SE_A10035_010,PCT_SE_A10035_002,PCT_SE_A10035_003,PCT_SE_A10035_004,PCT_SE_A10035_005,PCT_SE_A10035_006,PCT_SE_A10035_007,PCT_SE_A10035_008,PCT_SE_A10035_009,PCT_SE_A10035_010
"06037212701","Census Tract 2127.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2127.01",,,,309,5,0,0,6,0,5,41,35,217,1.62,0,0,1.94,0,1.62,13.27,11.33,70.23
"06037212702","Census Tract 2127.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2127.02",,,,563,10,0,9,0,0,0,71,137,336,1.78,0,1.6,0,0,0,12.61,24.33,59.68
"06037212800","Census Tract 2128, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2128",,,,606,0,0,0,0,0,26,49,122,409,0,0,0,0,0,4.29,8.09,20.13,67.49
"06037212900","Census Tract 2129, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2129",,,,108,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,100
"06037213100","Census Tract 2131, Los Angeles County, California","ca","140","00",,,,"06","037",,,"213100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2131",,,,279,0,0,0,0,0,32,37,31,179,0,0,0,0,0,11.47,13.26,11.11,64.16
"06037213201","Census Tract 2132.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"213201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2132.01",,,,162,0,0,0,0,0,9,75,64,14,0,0,0,0,0,5.56,46.3,39.51,8.64
"06037213202","Census Tract 2132.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"213202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2132.02",,,,268,0,0,10,0,10,40,67,69,72,0,0,3.73,0,3.73,14.93,25,25.75,26.87
"06037213310","Census Tract 2133.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"213310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2133.10",,,,226,6,0,0,0,0,0,180,5,35,2.65,0,0,0,0,0,79.65,2.21,15.49
"06037213320","Census Tract 2133.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"213320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2133.20",,,,98,0,0,0,0,0,33,22,31,12,0,0,0,0,0,33.67,22.45,31.63,12.24
"06037213401","Census Tract 2134.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"213401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2134.01",,,,21,0,0,0,8,0,0,13,0,0,0,0,0,38.1,0,0,61.9,0,0
"06037213402","Census Tract 2134.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"213402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2134.02",,,,134,0,0,0,0,0,15,25,33,61,0,0,0,0,0,11.19,18.66,24.63,45.52
"06037214000","Census Tract 2140, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2140",,,,617,0,0,0,0,0,0,20,6,591,0,0,0,0,0,0,3.24,0.97,95.79
"06037214100","Census Tract 2141, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2141",,,,631,0,0,0,0,0,30,38,21,542,0,0,0,0,0,4.75,6.02,3.33,85.9
"06037214400","Census Tract 2144, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2144",,,,37,10,0,0,0,0,0,0,0,27,27.03,0,0,0,0,0,0,0,72.97
"06037214501","Census Tract 2145.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2145.01",,,,62,26,0,0,0,0,0,9,0,27,41.94,0,0,0,0,0,14.52,0,43.55
"06037214503","Census Tract 2145.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2145.03",,,,3,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"06037214504","Census Tract 2145.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2145.04",,,,48,22,0,0,0,0,0,6,0,20,45.83,0,0,0,0,0,12.5,0,41.67
"06037214505","Census Tract 2145.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2145.05",,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"06037214600","Census Tract 2146, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2146",,,,233,0,0,0,0,0,0,8,90,135,0,0,0,0,0,0,3.43,38.63,57.94
"06037214700","Census Tract 2147, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2147",,,,499,7,0,0,0,0,18,4,3,467,1.4,0,0,0,0,3.61,0.8,0.6,93.59
"06037214800","Census Tract 2148, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2148",,,,366,14,0,0,11,9,8,0,21,303,3.83,0,0,3.01,2.46,2.19,0,5.74,82.79
"06037214902","Census Tract 2149.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2149.02",,,,404,0,0,0,0,0,0,19,52,333,0,0,0,0,0,0,4.7,12.87,82.43
"06037214903","Census Tract 2149.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2149.03",,,,111,13,0,0,0,9,13,24,31,21,11.71,0,0,0,8.11,11.71,21.62,27.93,18.92
"06037214904","Census Tract 2149.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"214904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2149.04",,,,301,0,0,0,0,0,0,13,32,256,0,0,0,0,0,0,4.32,10.63,85.05
"06037215101","Census Tract 2151.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"215101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2151.01",,,,94,9,0,0,0,11,8,0,42,24,9.57,0,0,0,11.7,8.51,0,44.68,25.53
"06037215102","Census Tract 2151.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"215102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2151.02",,,,27,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,0,66.67,33.33
"06037216100","Census Tract 2161, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2161",,,,509,49,0,0,11,7,0,43,45,354,9.63,0,0,2.16,1.38,0,8.45,8.84,69.55
"06037216201","Census Tract 2162.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2162.01",,,,352,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,100
"06037216202","Census Tract 2162.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2162.02",,,,327,0,0,0,0,0,47,33,27,220,0,0,0,0,0,14.37,10.09,8.26,67.28
"06037216301","Census Tract 2163.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2163.01",,,,435,0,0,0,0,0,1,0,57,377,0,0,0,0,0,0.23,0,13.1,86.67
"06037216302","Census Tract 2163.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2163.02",,,,326,0,0,0,0,8,0,88,67,163,0,0,0,0,2.45,0,26.99,20.55,50
"06037216401","Census Tract 2164.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2164.01",,,,126,0,0,0,0,0,0,16,83,27,0,0,0,0,0,0,12.7,65.87,21.43
"06037216402","Census Tract 2164.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"216402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2164.02",,,,163,0,0,6,30,0,10,7,85,25,0,0,3.68,18.4,0,6.13,4.29,52.15,15.34
